epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6546,1.39207,1.60741,1.27263,0.59659,0.67476,0.62698,0.37637,1.38503,1.24893,1.33258,0.000369369,0.000369369,0.000369369
2,114.715,1.36105,1.09495,1.24735,0.65474,0.69531,0.70774,0.42644,1.39359,1.02944,1.3436,0.000732379,0.000732379,0.000732379
3,169.417,1.33714,0.99117,1.23183,0.69432,0.61667,0.68226,0.41303,1.39193,1.1036,1.34973,0.00108806,0.00108806,0.00108806
4,223.712,1.32866,0.93576,1.23315,0.65821,0.65736,0.69357,0.43598,1.38958,0.96252,1.3384,0.001078,0.001078,0.001078
5,277.429,1.30509,0.89222,1.21413,0.68841,0.73479,0.75639,0.48524,1.31966,0.92755,1.27208,0.001067,0.001067,0.001067
6,332.209,1.27338,0.85325,1.20282,0.74889,0.70218,0.75289,0.49039,1.31771,0.8359,1.27979,0.00105601,0.00105601,0.00105601
7,386.723,1.25012,0.81343,1.18367,0.76182,0.78417,0.82394,0.5548,1.29093,0.79955,1.26348,0.00104501,0.00104501,0.00104501
8,440.081,1.25379,0.81272,1.18644,0.80405,0.764,0.82831,0.55542,1.29252,0.80834,1.23786,0.00103401,0.00103401,0.00103401
9,495.563,1.23676,0.78157,1.17632,0.78955,0.78819,0.83724,0.56082,1.26552,0.78869,1.23873,0.00102301,0.00102301,0.00102301
10,549.999,1.22834,0.78068,1.17074,0.76306,0.77044,0.82072,0.56739,1.24879,0.77065,1.22601,0.00101201,0.00101201,0.00101201
11,603.482,1.22097,0.76563,1.16811,0.75216,0.77717,0.81432,0.5657,1.23905,0.76577,1.22042,0.00100101,0.00100101,0.00100101
12,657.324,1.20862,0.75209,1.15517,0.76778,0.76146,0.82517,0.57203,1.23812,0.76932,1.2176,0.000990012,0.000990012,0.000990012
13,709.963,1.20698,0.74517,1.15666,0.82459,0.79041,0.85652,0.58425,1.25305,0.73394,1.21173,0.000979013,0.000979013,0.000979013
14,765.227,1.20408,0.72839,1.14498,0.84232,0.80865,0.87166,0.60452,1.24046,0.73345,1.21261,0.000968014,0.000968014,0.000968014
15,818.569,1.18954,0.72091,1.14228,0.85536,0.77864,0.86529,0.61639,1.22113,0.74724,1.19923,0.000957015,0.000957015,0.000957015
16,871.177,1.17988,0.71089,1.13716,0.7737,0.80687,0.85566,0.60054,1.21136,0.70846,1.21519,0.000946016,0.000946016,0.000946016
17,924.331,1.17932,0.70306,1.13985,0.77033,0.77108,0.83582,0.59358,1.22812,0.74548,1.19799,0.000935018,0.000935018,0.000935018
18,978.861,1.16887,0.69111,1.12927,0.82199,0.80301,0.86063,0.61394,1.21626,0.72925,1.19261,0.000924019,0.000924019,0.000924019
19,1031.25,1.1706,0.69053,1.1316,0.78259,0.79713,0.84517,0.60756,1.20654,0.73906,1.18891,0.00091302,0.00091302,0.00091302
20,1083.94,1.16217,0.6875,1.13136,0.81536,0.80631,0.86782,0.61052,1.20935,0.72216,1.19801,0.000902021,0.000902021,0.000902021
21,1136.68,1.15385,0.67893,1.12585,0.83177,0.82751,0.88206,0.6383,1.19302,0.68231,1.1749,0.000891022,0.000891022,0.000891022
22,1189.59,1.14597,0.66398,1.11768,0.75777,0.83474,0.87726,0.64394,1.18279,0.72405,1.1735,0.000880023,0.000880023,0.000880023
23,1243.12,1.14098,0.66219,1.11442,0.82727,0.83065,0.87398,0.63418,1.18413,0.68309,1.17601,0.000869024,0.000869024,0.000869024
24,1295.43,1.13799,0.65813,1.11238,0.81633,0.83795,0.89614,0.6523,1.17696,0.66706,1.16256,0.000858025,0.000858025,0.000858025
25,1348.27,1.13631,0.65496,1.11427,0.8209,0.81506,0.87948,0.64156,1.17273,0.69233,1.17431,0.000847026,0.000847026,0.000847026
26,1400.94,1.12656,0.65004,1.10924,0.82983,0.81996,0.8779,0.63924,1.1753,0.67313,1.17478,0.000836027,0.000836027,0.000836027
27,1453.49,1.11997,0.64525,1.10487,0.86334,0.81673,0.90105,0.6626,1.17978,0.66602,1.16699,0.000825029,0.000825029,0.000825029
28,1506.7,1.12924,0.64442,1.10615,0.81653,0.82619,0.88541,0.64629,1.18469,0.65455,1.1743,0.00081403,0.00081403,0.00081403
29,1560.76,1.11935,0.64151,1.10758,0.85017,0.81346,0.89241,0.65629,1.16338,0.67537,1.15655,0.000803031,0.000803031,0.000803031
30,1613.43,1.11548,0.63256,1.10346,0.84181,0.82289,0.89066,0.64916,1.16475,0.66238,1.16501,0.000792032,0.000792032,0.000792032
31,1666.32,1.11832,0.6347,1.10218,0.83616,0.83706,0.90108,0.6541,1.16084,0.66641,1.16365,0.000781033,0.000781033,0.000781033
32,1718.54,1.10927,0.62953,1.10092,0.84397,0.78667,0.88401,0.65477,1.16418,0.69664,1.16122,0.000770034,0.000770034,0.000770034
33,1771.19,1.10017,0.62487,1.09351,0.8687,0.82324,0.89677,0.66969,1.15325,0.6539,1.15133,0.000759035,0.000759035,0.000759035
34,1823.69,1.09734,0.61542,1.09061,0.83672,0.83656,0.8925,0.66215,1.15097,0.63372,1.16005,0.000748036,0.000748036,0.000748036
35,1876.39,1.10236,0.61626,1.09179,0.87001,0.82151,0.90121,0.68412,1.14419,0.65179,1.15319,0.000737037,0.000737037,0.000737037
36,1929.31,1.0993,0.61669,1.09207,0.83304,0.82364,0.88695,0.66415,1.15287,0.63507,1.14795,0.000726038,0.000726038,0.000726038
37,1981.66,1.09731,0.61042,1.09115,0.85308,0.81919,0.89783,0.67673,1.14152,0.63378,1.14387,0.00071504,0.00071504,0.00071504
38,2034.36,1.0854,0.60726,1.08771,0.80585,0.84078,0.89433,0.66811,1.14263,0.65794,1.14171,0.000704041,0.000704041,0.000704041
39,2086.73,1.0909,0.60664,1.09035,0.85313,0.83743,0.90441,0.67153,1.14323,0.65185,1.15136,0.000693042,0.000693042,0.000693042
40,2139.37,1.08358,0.60014,1.08267,0.81805,0.85339,0.89848,0.67561,1.14164,0.64026,1.13893,0.000682043,0.000682043,0.000682043
41,2193.21,1.0818,0.60346,1.08593,0.84411,0.84486,0.90421,0.67496,1.13595,0.64514,1.14244,0.000671044,0.000671044,0.000671044
42,2245.93,1.0769,0.59473,1.07836,0.85585,0.83693,0.90188,0.67822,1.13569,0.62547,1.13681,0.000660045,0.000660045,0.000660045
43,2299.49,1.07188,0.59122,1.07945,0.83785,0.84582,0.90691,0.67956,1.13313,0.62618,1.13801,0.000649046,0.000649046,0.000649046
44,2352.06,1.072,0.5896,1.07685,0.84205,0.83619,0.89951,0.6717,1.14318,0.63695,1.1535,0.000638047,0.000638047,0.000638047
45,2404.11,1.06028,0.58375,1.07582,0.86606,0.83504,0.90423,0.68832,1.12991,0.62532,1.13766,0.000627048,0.000627048,0.000627048
46,2456.4,1.07278,0.59325,1.0825,0.86544,0.85456,0.91997,0.69146,1.13143,0.62053,1.13932,0.000616049,0.000616049,0.000616049
47,2508.82,1.05257,0.57854,1.06984,0.88048,0.84503,0.91337,0.69454,1.12757,0.6228,1.13755,0.000605051,0.000605051,0.000605051
48,2560.68,1.05845,0.57974,1.07304,0.88511,0.81869,0.90338,0.69424,1.11977,0.60861,1.13391,0.000594052,0.000594052,0.000594052
49,2612.52,1.05824,0.57645,1.06634,0.87946,0.85534,0.91477,0.69779,1.11558,0.61174,1.12652,0.000583053,0.000583053,0.000583053
50,2664.62,1.06057,0.57889,1.07801,0.87132,0.84494,0.91349,0.69064,1.11983,0.61311,1.13439,0.000572054,0.000572054,0.000572054
51,2717.46,1.0564,0.57606,1.06912,0.85824,0.85752,0.91841,0.69922,1.12146,0.62317,1.13197,0.000561055,0.000561055,0.000561055
52,2769.61,1.05049,0.57174,1.07159,0.89199,0.82779,0.91459,0.69416,1.12258,0.62556,1.12774,0.000550056,0.000550056,0.000550056
53,2821.05,1.06062,0.56875,1.06896,0.88182,0.85763,0.91535,0.69922,1.11768,0.62135,1.13177,0.000539057,0.000539057,0.000539057
54,2872.84,1.0473,0.56816,1.06852,0.88479,0.86075,0.91563,0.69996,1.11228,0.61398,1.12324,0.000528058,0.000528058,0.000528058
55,2924.23,1.03303,0.55949,1.05993,0.86609,0.85829,0.91576,0.7038,1.1146,0.62181,1.1286,0.000517059,0.000517059,0.000517059
56,2975.6,1.03557,0.56011,1.05773,0.87857,0.84712,0.91832,0.70763,1.11304,0.61515,1.12609,0.00050606,0.00050606,0.00050606
